donor_name,canonical_name,total_given,rank_overall
Association d  Aide au Volontariat en Inde,,26300858,1846
ASSOCIATION DES AMIS DU SAKTHI CHILDRENS HOME,,9963560,4323
ASSOCIATION FOR INDIAS DEVELOPMENT,Association for Indias Development,99238697.62,430
Association for Indias Development,Association for Indias Development,38911002.76,1207
Association For Indias Development,Association for Indias Development,9869881,4365
association for Indias Development,Association for Indias Development,9334598,4560
Association for Indias Development AID,Association for Indias Development,23729293.75,2058
Association for Natural Resources Management and National Integrated Impovement   ANNAI Trust,,8817439,4748
ASSOCIATION FOR REFORMED MINISTRIES ABROAD,,32184049,1491
Association for Rural and Urban Needy,Association for Rural and Urban Needy,19881622,2402
ASSOCIATION FOR RURAL AND URBAN NEEDY,Association for Rural and Urban Needy,13277544,3386
ASSOCIATION FRAN OIS XAVIER BAGNOUD,,24259956.91,2009
Association Francaise Pour Enfance Abandonnee,,31441829,1532
Association Friends of the Diocese of Gorakhpur UP India,,28041422,1719
Association La Cite De La Joie De Dominique Lapierre,,50315939.47,879
Association Mlinda,,9522210.42,4497
Association Natchatiramine Annie Gasse,,8297165,4970
Association Oeuvres Mere Teresa,Association Oeuvres Mere Theresa,147497459,274
Association Oeuvres Mere Theresa,Association Oeuvres Mere Theresa,19564881,2428
ASSOCIATION OF CATHOLIC ORDERS FOR THE PROMOTION OF INTERNATIONAL SOLIDARITY,,13301716,3383
Association of Evangelists,,18308164.12,2586
Association of Free Lutheran Congregations,,9527523.77,4495
ASSOCIATION OF INDIA S DEV,,14633838,3096
ASSOCIATION OF KAMATHIPURA,,11998260,3710
Association Pedro Arrupe,,24106498,2019
ASSOCIATION PERE CEYRAC,,11558216,3831
ASSOCIATION RURAL AND URBAN NEEDY,Association for Rural and Urban Needy,10456513,4154
ASSOCIATION SOUTIEN ASHALAYAM,,22152272,2192
Associazione Amici delle Missionarie dell Immacolata,Associazione Amici delle Missionarie dell Immacolata,70413773.95,617
associazione Amici Delle Missionarie dell Immacolata,Associazione Amici delle Missionarie dell Immacolata,11687970,3795
Associazione Amici di Dominique Lapierre in Ticino,,36066300,1306
Associazione Amici Trentini,,8881440,4719
Associazione Educazione Per La Vita,,16631543,2791
ASSOCIAZIONE ITALIANA AMICI DI RAOUL FOLLEREAU,,11141827,3950
Associazione Mission Don Bosco,Associazione Missioni Don Bosco,10315358,4195
Associazione Missioni Don Bosco,Associazione Missioni Don Bosco,25673602.99,1874
ASSOCIAZIONE SHANTI ONLUS,,17233464,2714
Associazione VIA Pacis ONLUS,,8591454,4856
Assozione PierGiorgio Frasti Onlus,,12028438,3701
Astraea Lesbian Foundation for Justice,Astraea Lesbian Foundation for Justice,12905639.05,3472
ASTRAEA LESBIAN FOUNDATION FOR JUSTICE,Astraea Lesbian Foundation for Justice,10557392.04,4124
ASW,,19118492,2478
AT  T Global Network Services India Pvt Ltd,ATT Global Network Services India Pvt Ltd,9199475,4608
AT and T Global,ATT Global Network Services India Pvt Ltd,29023009,1661
AT and T Global Network Service India Pvt Ltd,ATT Global Network Services India Pvt Ltd,14000000,3225
AT T Global Business Services,ATT Global Network Services India Pvt Ltd,10910000,4011
Atlas Economic Research foundation,,18592659,2551
ATT GLOBAL NETWORK SERVICES PVT LTD,ATT Global Network Services India Pvt Ltd,11696400,3790
AUGER FOUNDATION,,16435120,2827
Augustiner Chorherrnstiss Stiffsplatz,,8526392,4877
Aulikki Virta,,11663597,3801
Ausbildungshilfe Indien e V,,15362205,2989
Austinian Province of the most Holy Name of Jesus of the Philippines,,18915210,2506
Australian Consulate General,,10530824,4129
Australian Friends Of Asha for Slums Limited,,8466308.4,4900
Australian High Commission,,33852478,1408
AUSTRALIAN LUTHERAN WORLD SERVICE,,11193618.4,3938
Auxilium Foundation,,23663737,2073
Avatar Meher Baba Foundation Inc,,9953257,4326
AVC AKITION CH,,16106438.28,2876
AWO International,,43741546.85,1042
AXENE EVANGELICAL MISSION,,10316500,4194
Axis Bank,,21212613,2271
AXIS BANK FOUNDATION,Axis Bank Foundation,115413694,359
Axis Bank Foundation,Axis Bank Foundation,97148559,441
AXIS BANK LTD,,14637654,3095
AZIONE PER FAMIGLIE NUOVE ONLUS,,8825925.95,4745
B H Misereor,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),478335536.3,61
BA Continuum India Privat Limited,BA Continuum India Pvt Ltd,29430210,1638
BA Continuum India Pvt Ltd,BA Continuum India Pvt Ltd,57201124,792
BABA KASHMIRA SINGH JAN SEWA TRUST,,9229331,4594
Back to life,,23322785,2096
BACK TWO BACK MINISTRIES,,40934458.43,1130
BADARIKASHRAM INC,,28632037,1684
BAHAI WORLD CENTRE,,43227058,1057
Bal Raksha Baharat,Save the Children (Bal Raksha Bharat),10373314,4182
Bal Raksha Bharat,Save the Children (Bal Raksha Bharat),172424449,229
BAL RAKSHA BHARAT,Save the Children (Bal Raksha Bharat),34783442,1357
Bal Raksha Bharat Save the Children,Save the Children (Bal Raksha Bharat),26084789,1856
BAL RAKSHA BHARAT SAVE THE CHILDREN,Save the Children (Bal Raksha Bharat),19287904,2463
Balkrishna Gaushala Trust,,26705279.5,1814
Bamboo Leaf Ltd,,10891140,4013
Bangalore Rural Education and Development Society,Bangalore Rural Education and Development Society,11524385,3840
Bangalore Rural Educational and Development Society,Bangalore Rural Education and Development Society,49879146,890
Bangalore Rural Educational And Development Society,Bangalore Rural Education and Development Society,23909098,2042
Bangalore Rural Educational and Development Society BREADS,Bangalore Rural Education and Development Society,18763246,2527
Bangalore Salesian Society,Bangalore Salesian Society,16629146,2792
BANGALORE SALESIAN SOCIETY,Bangalore Salesian Society,8722375,4783
Bank Interest,Bank Interest,50478878.26,877
BANK INTEREST,Bank Interest,21850697.45,2215
BANK OF AMERICA,,70835639,610
Bank of America,Bank of America,69866420,622
