donor_name,canonical_name,total_given,rank_overall
Stichting Kinderpostzegels,Stichting Kinderpostzegels,12344834,3628
Stichting Kinderpostzegels Nederland,Stichting Kinderpostzegels,34736694.56,1359
Stichting Liliane Fonds,Stichting Liliane Fonds,268492795.7,128
Stichting Lilliane Fonds,Stichting Liliane Fonds,163881195.4,243
Stichting Oxfam International,,219746820.8,155
Stichting Pater Schlooz,,23396870,2091
Stichting Philips Foundation,,26651363,1821
Stichting Rabobank Foundation Utrecht,,14998348,3051
STICHTING RRDF,,93167399,463
Stichting Simavi,,40143462.62,1157
STICHTING SOCIAAL CENTRUM,,19425109,2449
Stichting Studiefonds Wetenschapsintegratie,Stichting Studiefonds Wetenschapsintegratie,10560135.18,4122
Stichting Studiefonds Wetenschaqsintegratie,Stichting Studiefonds Wetenschapsintegratie,8264537.94,4986
Stichting Tibet,,16250800.21,2858
Stichting Trimbos Instituut Netherlands,,15424364,2979
STICHTING VISON ASIA,,10674723,4089
STICHTING VRIENDEN MEDISCHE MISSIEZUSTERS,,17954948,2628
Stichting Welzijn Kinderen Van Bal Anand and Umang,,24895915.43,1943
STICHTING WOORD en DAAD,,217463084.1,158
Stichting Zijn,Stichting Zijn,30456560.52,1584
STICHTING ZIJN,Stichting Zijn,24000000,2031
STIFTELESEN HUNGERPROJEKTE T SVERIGE,,108545767.8,386
STIFTELSEN ARKEN,,11161284,3945
Stiftelsen Global Aid,,77169997,562
Stiftung  Maria Theresa Scherer,,9250504,4586
Stiftung Aruna,,11300105,3902
Stiftung Auxilium,Stiftung Auxilium,51723315.13,859
STIFTUNG AUXILIUM,Stiftung Auxilium,11140684.17,3952
Stiftung Calcutta Rescue,,20915535.81,2301
STIFTUNG CHILDAID NETWORK GERMANY,,11545728,3835
Stiftung Contactions,,189597735.4,198
STIFTUNG CSI SCHWEIZ,,22587010,2161
Stiftung Jesuiten Weltweit,,10035476.98,4285
Stiftung Maria Theresia Scherer,Stiftung Maria Theresia Scherer,109431685.4,381
STIFTUNG MARIA THERESIA SCHERER INGENBOHL,Stiftung Maria Theresia Scherer,12951303,3464
Stiftung Usthi,,9692091,4425
StiftungIndienhilfe,,26021066,1859
Stiftungs Cleft Children International,,33638548,1417
STIFUTUNG AUXILIUM,Stiftung Auxilium,23627321,2075
STIICHING IKEA FOUNDATION,Stichting IKEA Foundation,117506885.7,350
Still water church of christ,,18089713.5,2615
Stitching Benevolentia,Stichting Benevolentia,11932002,3724
Stitching India Tibet Funds,,27225347.5,1772
STITCHING PATER SCHLOOZ,,19876456,2404
Stitching Unie Nzv Yuvalok Child,,14935122.9,3060
STITTUNG MARIA THERESA SCHERER INGENBOHL,Stiftung Maria Theresia Scherer,17720251,2657
Stockholm Environment Institute US Center,,9226087.24,4597
STOP TB Partnership,Stop TB Partnership,21267995,2267
Stop TB Partnership,Stop TB Partnership,19877735.71,2403
Stop TB Partnership The United Nations Office for Project Services,Stop TB Partnership,58342927.78,776
Street Net International,,12441445.3,3606
STREETFOOTBALL WORLD,,8272110.81,4979
Stritching True Blue,,20067176,2378
StThomas stiching Driehuizerkerkweg,,9035392,4655
Sujnana Religious and Charitable Foundation,,60906804.17,743
Sumitomo Mitsui Banking Corporation,Sumitomo Mitsui Banking Corporation,56582706,805
sumitomo Mitsui Banking Corporation,Sumitomo Mitsui Banking Corporation,13000000,3453
Sun Apu,,20000000,2387
SUNIL AND  NITA WADHWANI FAMILY PRICEWATERHOUS E COOPERS LLP,SUNIL AND NITA WADHWANI FAMILY FOUNDATION,46629101.74,967
SUNIL AND NITA WADHWANI FAMILY FOUNDATION,SUNIL AND NITA WADHWANI FAMILY FOUNDATION,191862041.3,191
SUNSET CHURCH OF CHRIST,,33091887,1450
Sunshine Ministries,,8307599.64,4964
SUORE AUGUSTINIANE DELLA SS ANNUNCIATAI,,23279222,2101
Suore del Sacro Cuore di Gesu,,9719940,4415
Suore della Providenza,Suore della Providenza,17173886,2724
Suore della Provvidenza,Suore della Providenza,9377936,4546
Suore Dimesse,,45407229,992
Suore Ospedeliare Della Miscericordia Curia Generalazia,,11406483,3874
Superior General,,11013956,3978
SUPERIOR GENERAL CONGREGATION OF THE SISTERS OF CHARITY,,20701876.03,2324
Support for Education and Economic Development SEED,,10103541,4263
support for educational and economic development,,9583297,4477
SUPPORT ORGANIZATION FOR KIDS IN NEED,,19411557,2451
SUPRAJA FOUNDATION,Supraja Foundation,33600000,1419
Supraja Foundation,Supraja Foundation,24506975,1981
SUPRAJA FOUNDATION LIMITED,Supraja Foundation,17414858.75,2694
SURABI,,40949528.43,1128
Swades Foundation,Swades Foundation,56636898,803
SWADES FOUNDATION,Swades Foundation,45887056,986
Swadesh Foundation,Swades Foundation,9518190,4499
SWADHIKAR,,9245910,4588
Swami Vivekananda Youth Movement of North America,,13697444,3282
Swaminarayan World Organization usa inc,,101919171.4,412
SWATI,,9003701,4668
Swedish Commiittee For Aghanisthan,,10942954,3999
SWEDISH ORGANISATION FOR INDIVIDUAL RELIEF,Swedish Organization for Individual Relief,8633925,4834
SWEDISH SOCIETY FOR NATURE CONSERVATION,,26402680,1840
Sweet Savour Ministries  A Christian Development Centre,,76584940.53,572
Swidesh Organisation for individual relief,Swedish Organization for Individual Relief,24853289.6,1951
Swiss Academy for Development,,23837012,2052
Swiss Aid India,SWISSAID,9951973,4327
Swiss Catholic Lenten Fund,,27783890,1739
SWISS EMMAUS INDIA,,17564430,2674
Swiss League of Catholic Women,,8815538,4749
Swiss Philantrophy Foundation,,15064814,3037
SWISS RELIEF,,19497019.5,2438
SWISSAID,SWISSAID,30816325,1568
SWISSAID INDIA,SWISSAID,46017185,981
Swivro,,23264886,2102
Symantec Software India Private Limited,Symantec Software India Pvt Ltd,29983098,1613
Symantec Software India Pvt Ltd,Symantec Software India Pvt Ltd,15432958.17,2976
Symantec Software Solutions Pvt Ltd,Symantec Software India Pvt Ltd,10212642.76,4226
Synchrony International Services,Synchrony International Services,27680077.3,1746
Synchrony International Services Pvt Ltd,Synchrony International Services,14234370.1,3174
Syngenta Crop Protection AG,,207988622.1,168
SYNGENTA FOUNDATION INDIA,Syngenta India Limited,40960000,1126
Syngenta Foundation India,Syngenta India Limited,25000000,1927
Syngenta India Limited,Syngenta India Limited,187744170,199
SYNGENTA INDIA LTD,Syngenta India Limited,17133000,2732
Syngneta India Limited,Syngenta India Limited,25402587.32,1894
Syro Malankara Catholic Eparchy of USA and CANADA INC,,8497298.3,4890
TABERNACLE BAPTIST CHURCH,,10626941,4104
Taiwan Drepung Loseling Altrusitic Association,,66938981.6,649
TAIWAN SERA JEY CENTER,Taiwan Sera Jey Omniscience Dharma Academy,13911606,3240
TAIWAN SERA JEY OMNI SCIENCE,Taiwan Sera Jey Omniscience Dharma Academy,46700177,966
Taiwan Sera Jey Omniscience Dharma Academy,Taiwan Sera Jey Omniscience Dharma Academy,44078712.92,1032
TAIWAN SERA JHE OMNISCIENCE DHARMA ACADEMY,Taiwan Sera Jey Omniscience Dharma Academy,30202833,1602
TAKKO HILFT E V,,12585218.68,3565
TALK DIRECT LEEDS LIMITED,,14173125,3189
Talking Tech Foundation,,8840392.81,4739
TamilNadu Foundation Inc TN Chapter,Tamil Nadu Foundation Inc,8677278,4811
Tamilnadu Foundation Inc USA,Tamil Nadu Foundation Inc,175663674,220
TANA FOUNDATION,,90291945.75,479
TARAHUM ASSOCIATION FOR CHARITABLE AND HUMANITRIAN,,124832924,334
TARGET CORPORATION INDIA PRIVATE LIMITED,,14325346.75,3153
Target Corporation India Pvt Ltd,,19104809.5,2481
Target Foundation,,11974452,3716
TARSADIA FOUNDATION,Tarsadia Foundation,212812862.2,165
Tarsadia Foundation,Tarsadia Foundation,61797241.2,730
Tashi Gomang Dharma Center,,12893689.75,3473
Tata Trusts,,8894000,4712
TB Alert,,19909986.45,2400
TCG FOUNDATION,,10000000,4298
TCWM,,14808316.82,3071
Teach For All Inc,,19717699,2414
Teaching Skills,Teaching Skills,51339040,868
TEACHING SKILLS,Teaching Skills,32262130,1487
TEACHING SKILLS LLC,Teaching Skills,736092550,31
TEAR AUSTRALIA,Tear Australia,130867896.9,320
Tear Australia Inc,Tear Australia,54388101.98,825
Tear Fund,Tearfund,19655709.87,2421
TEAR FUND,Tearfund,19360006.38,2458
Tear fund,Tearfund,10946367.82,3997
TEAR NEWZEALAND,Tearfund,19710350.05,2417
Tearfund,Tearfund,89248319.57,485
TEARFUND,Tearfund,57559015.53,789
Tearfund New Zealand,Tearfund,19974645.34,2392
Techen Kunchabling Buddhist Temple,,51489001,864
Technumen Inc,,35080129,1345
TECNIMONT  PVT LTD,,9630000,4459
TEDALDI ESTATES,,143486687,287
Tej Kohli Cornea Institute,,30000000,1609.5
Tell Asia Ministries,TellAsia Ministries,20317403.54,2363
TELLASIA MINISTRIES,TellAsia Ministries,107666660.9,390
TellAsia Ministries,TellAsia Ministries,26506814.86,1829
Temasek,,10483650,4149
TEN FORTY CONNECTIONS INC,,12520453.68,3581
Tenkasi Faith Ministries,,18560093.28,2556
TENZIN PALMO INITITAVE,,12882354.61,3483
Tere Des Hommes,Terre de Hommes,11558782.09,3830
TERGAR MEDITATION LA,,18326262,2585
Terre des Homes,Terre de Hommes,8496940.87,4891
Terre des homes netherlands,Terre de Hommes,25818366,1869
Terre des homme,Terre de Hommes,9945439.73,4333
Terre des hommes,Terre de Hommes,106550929.2,393
TERRE DES HOMMES,Terre de Hommes,86445621.28,503
Terre Des Hommes,Terre de Hommes,68110562.64,637
terre des hommes,Terre de Hommes,40528421.53,1139
Terre des Hommes,Terre de Hommes,29097554.78,1658
TERRE DES HOMMES AIDE A L ENFANCE DANS LE MONDE FONDATION,Terre de Hommes,11498150,3850
Terre des hommes Alsace,Terre de Hommes,23153782.5,2110
terre des hommes Deutschland,Terre de Hommes,18219027.9,2605
Terre Des Hommes Deutschland e V,Terre de Hommes,8945737.43,4690
terre des hommes Deutschland e.v.,Terre de Hommes,39993963.78,1170
Terre des hommes Foundation Lausanne,Terre de Hommes,9494829,4509
Terre Des Hommes Germany,Terre de Hommes,8994176.05,4673
Terre des hommes ITALIA,Terre de Hommes,11119654.04,3959
Terre des hommes LausanneSwitzerland,Terre de Hommes,25155512,1916
Terre Des Hommes Nederland,Terre de Hommes,32886539,1458
Terre des Hommes Netherlands,Terre de Hommes,9055309,4649
Terre des Hommes Suisse,Terre de Hommes,39086902.05,1203
Terredes Hommes Netherland,Terre de Hommes,8255136,4988
TEXAS INSTRUMENT,Texas Instruments,34460294,1375
THANKS GIVING LUTHERN CHURCH,,9190010.57,4611
The  Hans Foundation,Hans Foundation,11608168,3819
The Akanksha Fund Inc,Akanksha Fund,98021979.11,436
The Alliance for Global Education LLC,,58297033,777
THE ALMEIDA FOUNDATION INC,,10000000,4298
The American Center,,9779458.1,4394
The American Himalayan Foundation,,13664593.25,3290
THE AMERICAN INDIA FOUNDATION,American India Foundation,27885722,1734
The American India Foundation,American India Foundation,23913436,2041
THE AMERICAN INDIA FOUNDATION TRUST,American India Foundation,42415760,1087
The American India Foundation Trust,American India Foundation,28782633,1676
The American India Foundation Trust AIFT,American India Foundation,18082867,2617
The American Indian Foundation Trust,American India Foundation,8769277,4767
The Apostiolic Nunciature in India,,10413970,4170
THE ASEAN SECRETARIAT,,35956644,1308
The Asia Foundation,The Asia Foundation,51748588,858
THE ASIA FOUNDATION,The Asia Foundation,13220199,3401
The Assemblies of God of North India,,13523399.68,3327
The Assembly of God Church Benevolence and Social Services Sponsorship Account,,104987212.2,397
The Bangalore Capuchin Friars Minor Society,,14525737,3111
The Bangalore Salesian Society,Bangalore Salesian Society,134100734,309
The Bangalore Salesian society,Bangalore Salesian Society,8450000,4905
The Bartlett Development Planning Unit University College London,,9979939.54,4313
The Batemans Trust,,13508963.02,3332
THE BIBLE LEAGUE,,53811410,835
THE BILL AND MELINDA GATES FOUNDATION,Bill and Melinda Gates Foundation,717213634.7,33
The Bishops Conference of Italy,The Bishops Conference of Italy,10392604.5,4178
THE BISHOPS CONFERENCE OF ITALY,The Bishops Conference of Italy,8848012.91,4733
The Blind See,,41986122.63,1098
THE BOEING COMPANY,Boeing,49823340,893
The Boeing Company,Boeing,20448270,2348
The Bombay Salesian Society,Bombay Salesian Society,82311297,530
THE BOMBAY SALESIAN SOCIETY,Bombay Salesian Society,63819310,692
The Breadsticks Foundation,,17941560,2630
The British Asian Trust,British Asian Trust,15839173.38,2913
The British Leprosy Relief Association,,49229081,908
THE BROOKE INDIA HOSPITAL OF ANIMALS,Brooke Hospital for Animals,17203865.84,2721
The Buddhist Wisdom Foundation,,26867813,1803
The Catholic Health Association of India,Catholic Health Association of India CHAI,35165408.6,1341
THE CATHOLIC HEALTH ASSOCIATION OF INDIA,Catholic Health Association of India CHAI,29772931,1626
The Catholic Health Association of India CHAI,Catholic Health Association of India CHAI,8851627.42,4730
The CCFD Terre solidaire,,11614253.97,3816
The Central gifts Committee of the churches of God,,8493558.16,4894
The Chancellor Masters and Scholars of the University of Oxford,,12879256.78,3484
The Christopher Missions Foundation and St Stphens Parish San Francisco,,8233849,4994
THE CHURCH OF JESUS CHARITY  AU,,8318121.45,4960
THE CHURCH OF JESUS CHRIST LATTER DAY SAINTS,The Indian Society of The Church of Jesus Christ of Latter Day Saints,929163175,26
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS,The Indian Society of The Church of Jesus Christ of Latter Day Saints,602709537,44
The CJMF Foundation,,97996550,437
The Coca Cola Foundation,Coca Cola India Foundation,150202967.7,267
THE COCA COLA FOUNDATION,Coca Cola India Foundation,60492834.68,753
The Coco Cola Foundation,Coca Cola India Foundation,18505715,2566
THE COMMUNITY IN WESTERN AUSTRALIA,,25067950,1920
The Consulate General of Japan in Mumbai,Consulate General of Japan in Mumbai,8897768.44,4709
THE CRESCENT INSTITUTE,,15294940,3004
THE CS FOUNDATION,,10981295.93,3991
THE DALAL FAMILY FOUNDATION,,70047155,620
The David and Lucile Packard Foundation,David and Lucile Packard Foundation,80464031.99,544
The Dewan Foundation UK,,43810037,1040
The Diocese of Imphal Fund,,24861964.5,1949
The Director,,37420177,1260
THE DIRECTOR,,22192146.19,2189
The Directorate The British Museum Department of Asia,,11031510,3976
THE DOMINIQUE LAPIERRE CITY OF JOY ORGANISATION,,39986471.12,1171
The Dromintee Trust,,15265894,3010
THE EAST WEST OVERSEAS AID FOUNDATION,,21853068.4,2214
The Emirates Airline Foundation,Emirates Airline Foundation,29531614,1634
The Emirates Airline Foundations,Emirates Airline Foundation,11535622,3838
The Emmanuel Trust,,18643290.83,2540
The Energy and Resources Institute,,11532492,3839
The Evangelical Fellowship of India Commission on Relief,,8774736,4763
The Family Rosary Inc,,39697236.04,1183
THE FOR ALL MANKIND MOVEMENT,,49035638.3,912
The Ford Foundation,Ford Foundation,54127189.8,831
THE FORD FOUNDATION,Ford Foundation,25467481.5,1889
The FPMT,Foundation for the Preservation of the Mahayana Tradition,134616888,307
The Freedom Fund,Freedom Fund,25370790.98,1898
The Freedom Fund London,Freedom Fund,15344898.01,2994
The Friends of BaaleMane,,12513836.24,3584
The Friends of The Indian School of Business Foundation,,19165221,2475
The Fund for Global Human Rights,,22855157.9,2134
The Fund For The Tiger,,13443825.62,3351
The General Council of the Assemblies of God,,205047507.1,173
The Genesis Charitable Trust,Genesis Charitable Trust,15664500,2943
The George Institute for Global Health,,44064526,1033
The George Washington University,,10904772.65,4012
THE GLOBAL ALLIANCE FOR IMPROVED NUTRITION,,25795740,1870
The Global Alliance for Improved Nutrition GAIN,Global Alliance for Improved Nutrition,31754446.78,1515
The Good News Health Scotland Charitable Trust,Global Alliance for Improved Nutrition,9310682,4566
The Gujarat Muslim Association UK,,11223088.65,3923
The Hans Foundatiion,Hans Foundation,10739477,4061
The Hans Foundation,Hans Foundation,572993466,48
THE HANS FOUNDATION,Hans Foundation,444633891.2,68
THE Hans Foundation,Hans Foundation,30000000,1609.5
The Hans foundation,Hans Foundation,21348653,2258
The HANS Foundation,Hans Foundation,9569635,4482
THE HARIA TRUST,,25246072,1909
THE HOME CHURCH,,416217798,74
The Hong Kong and Shangai Banking Corporation Limited,Hong Kong and Shanghai Banking Corporation (HSBC),113775000,362
THE HONG KONG AND SHANGHAI BANKING CORPORATION LIMITED,Hong Kong and Shanghai Banking Corporation (HSBC),29982296,1614
The Hongcong and Shanghai Banking Corporation Lt.,Hong Kong and Shanghai Banking Corporation (HSBC),20554240,2335
THE HONGKONG AND SANGHAI BANKING CORPORATION,Hong Kong and Shanghai Banking Corporation (HSBC),9964000,4322
The Hongkong and Shanghai Banking Corporation,Hong Kong and Shanghai Banking Corporation (HSBC),417840496,73
The Hongkong and Shanghai Banking Corporation Limited,Hong Kong and Shanghai Banking Corporation (HSBC),112596878,367
The Hongkong Shanghai Banking Corporation India Limited,Hong Kong and Shanghai Banking Corporation (HSBC),23869255,2048
THE HONS FOUNDATION,Hans Foundation,12400237,3616
The Hope Foundation,Hope Foundation,221941501,153
THE HOPE FOUNDATION,Hope Foundation,32825230,1462
The Hope Venture,Hope Venture,14591883.9,3105
The Hope Venture NE,Hope Venture,22923284.94,2126
THE HUMANE SOCIETY OF THE UNITED STATES,Humane Society,58066203,782
The Hummingbird Foundation,Hummingbird Foundation,10480160,4150
The Hunger Project,The Hunger Project,60909566,742
THE HUNGER PROJECT,The Hunger Project,29276535.6,1646
THE HUNGER PROJECT AUSTRALIA,The Hunger Project,63943831.45,686
THE HUNGER PROJECT GERMANY,The Hunger Project,13333861.35,3374
The Hunger Project India,The Hunger Project,12688060,3539
THE HUNGER PROJECT NETHERLAND,The Hunger Project,75183677.73,580
The Hyderabad Don Bosco Society,,45319967,995
The ICMIF Foundation,,18698777.62,2535
The Indian Society of The Church of Jesus Chirist and The Latter Day Saints,The Indian Society of The Church of Jesus Christ of Latter Day Saints,21573350,2234
The Indian Society of The Church of Jesus Christ of Latter Day Saints,The Indian Society of The Church of Jesus Christ of Latter Day Saints,76687722.67,569
The Institute for Fiscal Studies,,37073386.04,1268
The Janki Foundation For Global Health Care,,11999000,3707
The Jaques Trust,,13579396,3314
The JMCMRJ Sorrell Foundation,,8782624.5,4759
The Joy Sowers,Joy Sowers,28794169.99,1675
THE JW LAING TRUST,,11521737.23,3841
The Kadoorie Charitable Foundation,Kadoori Charitable Foundation,30546427,1577
The Kalgidhar Trust UK,The Kalgidhar Trust UK,108898249.8,384
THE KALGIDHAR TRUST UK,The Kalgidhar Trust UK,59509198,761
The Karuan Trust,Karuna Trust,11031004,3977
The Karuna Trust,Karuna Trust,83443801.8,521
The Kiran Anjali Project,,31315256.44,1538
The Lemelson Foundation,,132076358.5,318
The Leprosy Mission England Wales,,18605372.42,2548
The Lily Foundation of America Inc,,12450488,3604
The Little Way Association,Little Way Association,21570315.59,2235
The Livelihoods Fund,,15112625,3032
THE LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,London School of Economics,10655392,4095
The Loyola Foundation,,8881387.6,4720
The Lucille Foundation,,22368000,2177
THE MAINSTAY FOUNDATION,The Mainstay Foundation,96670150,446
The Mainstay Foundation,The Mainstay Foundation,14229426,3176
THE MAITRI TRUST,Maitri Trust,46465320,974
The Masters Academy International,,12776863.66,3523
The Matliwala Family Charitable Trust,,10544688.5,4128
The Methodist Church,The Methodist Church,20217425,2371
THE METHODIST CHURCH,The Methodist Church,9978659,4314
The Michael Susan Dell Foundation,Michael and Susan Dell Foundation,31500000,1529
The Micronutrient Initiative,Nutrition International,27349378,1762
THE MICRONUTRIENT INITIATIVE,Nutrition International,20735746,2320
The Miracle Foundation,Miracle Foundation,16560870.86,2801
THE MITTAL FOUNDATION,,110112894.4,377
The Mosaic Company Foundation,,46967672.36,961
The Nand and Jeet Khemka Foundation Trust,,19006007,2495
The National Deaf Children Worldwide,,12802099.73,3514
The New Apostolic Church Orissa,,23500000,2083
The New Covenant Ministires,,86894467.6,498
The New Horizon Foundation,New Horizons,12656794.11,3544
The New Horizons,New Horizons,9869330,4366
THE NEW STAR FOUNDATION,,18221000,2604
The New Zealand Jesuits in India Trust,,9656345.96,4445
The Nippon Foundation,,20794592.89,2314
The Noon Memorial Legacy Trust,,41200099.44,1116
The Office Of Her Highness Sheikha Moza Bint Nasser,,114170515,361
The Open Door Project Inc,,31466668,1531
The Overcoming Light,,17717789,2658
The Pentecostal Assemblies of Canada,,17879859.76,2639
THE PONTIFICAL SOCIETY FOR THE PROPAGATION OF FAITH ROME,Pontifical Society for the Propagation of the Faith,23974976.8,2037
The Pontifical Society of St Peter the Apostle Congregation for Evangelization of the Faith,Pontifical Society for the Propagation of the Faith,12343964,3629
THE PONTIFICAL SOCIETY OF THE PROPAGATION OF FAITH,Pontifical Society for the Propagation of the Faith,23050826.5,2117
The Pontifical Work of Holy Childhood Via Apolostic Nunciature in India,Pontifical Society of Holy Childhood,29039897,1660
The Prasad Project,,11871511.13,3744
The President,,16819754.81,2767
The President APIBIMI,,23820116,2053
THE PRESIDENT FELLOW OF HARVARD,Harvard University,62849357.96,708
THE PRIEST OF THE SACRED HEART,,8675831,4812
THE PRIORY FOUNDATION,,9000075,4670
THE PROCURATOR PIME MILANO,,13709736.45,3278
THE PROVINCIAL MINISTER  ST MARYS PROVINCE,,8618697,4841
THE PROVINCIAL MINISTER FOGGIA,,12381257,3620
The Ramakrishna Foundation,Ramakrishna Foundation,214972791,163
THE RAMAKRISHNA FOUNDATION,Ramakrishna Foundation,34364854.87,1380
The ROCKEFELLER FOUNDATION,Rockefeller Foundation,16394900.18,2834
The Rockefeller foundation,Rockefeller Foundation,8771557.08,4765
The Roman Catholic Diocese of Mananthavady,,10184726,4235
THE ROMAN CATHOLIC DIOCESE OF ORANGE,,8834768,4741
The Rosa Luxemburg Stiftung,Rosa Luxemburg Stiftung,10573619.77,4118
THE ROSEBUD CHARITABLE TRUST,,15401220,2984
THE ROSSER FOUNDATION,Rosser Foundation,30823899,1567
The Rozzer Foundation,Rosser Foundation,31762523,1514
The Rufford Foundation,,14064272.04,3211
The Sahu Family Foundation,,20477835,2343
The Salesian Province of Calcutta,Salesian Province of Kolkata,15706405,2931.5
The Salesians Province of Kolkata,Salesian Province of Kolkata,10000000,4298
THE SALVATION ARMY INTERNATIONAL HEAD QUARTERS LONDON,Salvation Army,98773386,433
THE SALVATION ARMY NORWAY ICELAND FAEROES TER,Salvation Army,13565855.63,3317
THE SALVATION ARMY WORLD SERVICE OFFICE USA,Salvation Army,16896265,2756
THE SATURN FOUNDATION,,18253785,2598
The Savitri Waney Charitable Foundation,,192355538,189
The Seed Company,,145755886.5,279
The Seed Wycliffe,,30588663.1,1573
THE SHADE TRUST,,18434045.25,2573
The Shrimati Pushpa Wati Loomba Memorial Foundation,,17775375,2656
THE SICK HEALED,,67762700,643
The Small Scale Sustainable Infrastructure Development Fund Inc,,26670282.25,1819
THE SMILE TRAIN,Smile Train,39894000,1176
The Society of Friars Minor,SOCIETY OF FRIARS MINOR,21513530,2241
THE SOCIETY OF REVIVAL OF ISLAMIC HERITAGE,,58700679,771
The Society of the Oblates of Sacred Heart,,18415845.55,2575
The South India Salesian Society,South India Salesian Society,77608797,558
THE SOUTH INDIA SALESIAN SOCIETY,South India Salesian Society,10937439,4001
THE SOUTH INDIAN SALESIAN SOCIETY,South India Salesian Society,30922106.5,1562
The Sphere Association,,15690991,2934
The Steele Family Foundation,,11467569,3862
The Stiching Kinderpostzegels,Stichting Kinderpostzegels,8475694,4896
The Stone Family Foundation,,14035084,3217
The Swallows India Bangladesh,,26120771.05,1854
The Swedish Organisation for Individual Relief,Swedish Organization for Individual Relief,8950553,4688
The Sylvia Wright Trust,,51405565.5,867
The Tibet Fund,Tibet Fund,1117212436,20
THE TIBET FUND,Tibet Fund,8600245.64,4852
The Tide Foundation,Tides Foundation,14256733,3170
The TIDES Foundation,Tides Foundation,22357824,2178
THE TRAFIGUARA FOUNDATION,,13880718.14,3252
The Trichy Don Bosco Society,The Trichy Don Bosco Society,71510516.99,605
THE TRICHY DON BOSCO SOCIETY,The Trichy Don Bosco Society,57007748,798
The Trinitarians,The Trinitarians,8647864.79,4826
THE TRINITARIANS PROVINCIAL OFFICE,The Trinitarians,9678977.61,4435
The Trivedi Family Foundation,Trivedi Family Foundation,49968287.25,886
The Union,,10910057.92,4010
The Uniting Church in Australia,The Uniting Church in Australia,10097116.49,4268
The Uniting Church in Australila,The Uniting Church in Australia,19995407.98,2389
The University of Manitoba,University of Manitoba,181830401,210
The University of Minnesota,University of Minnesota,18178095.86,2608
The University of New Mexico,University of New Mexico,43159362,1060
The vaughan Foundation,,79184359.15,547
The Vodafone Foundation,Vodafone Foundation,109953809.5,378
The Wellcome Trust,Wellcome Trust,14003343,3222
The William and Flora Hewlett Foundation,William and Flora Hewlett Foundation,17442650,2690
The William Flora Hewlett Foundation,William and Flora Hewlett Foundation,13388820,3362
The Woodlands UMC,,16252932,2857
The Word for the World,The Word for the World,46590858.96,969
The Word for The World,The Word for the World,15079865,3035
The World Bank IBRD TRUST FUNDS,World Bank,26990327.24,1795
The World Fedration KSI  Muslim Comunities,World Federation of KSIMC,58156149,779
The Wycliffe Seed Company,,64116448,683
THEODORI SOCIETY,,8680628,4809
Third Sector New England,,14717067,3084
Thomas Foundation,,14271036,3165
Thomas Zehnder,,8426278,4917
THOMSON RETUERS,Thomson Reuters,9392433.04,4540
Thomson Reuters,Thomson Reuters,24493434.18,1984
Three M India Limited,,152621936,263
threeeyeinternational initiative for Impact Evaluation,International Initiative for Impact Evaulation,9534761,4493
Thrombosis  Research Institute  London UK,,8935984.45,4694
Thyssenkrupp Industries,,10492606,4144
Tibet Charity,,12833097.86,3500
Tibet Fund,Tibet Fund,63459920.42,699
Tibet House Trust,,11827161.74,3755
TIBET RELIEF FUND,,10429677.21,4164
Tibet Thaus Deutscheland EV,,9248073.26,4587
Tibetan Childern Education  welfare Fund,,170620953.1,231
Tibetan Childrens Education Foundation,,20372454.08,2357
TIBETANIA FOUNDATION,,13190778,3411
Tibetisches Zentrum E V,,23346819.6,2094
TIBETTAN NUNS PROJECT,,54278420,829
Tides Foundation,Tides Foundation,86903500.69,497
TIDES FOUNDATION,Tides Foundation,66650179.46,653
TIMBERLINE CHURCH,,10719565.35,4069
TIME,,8222129,5000
Timeless Chairty Foundation Co Ltd,Timeless Chairty Foundation Co Ltd,15111960,3033
Timeless Charity Foundation Company,Timeless Chairty Foundation Co Ltd,62970602,706
TIMELESS CHARITY FOUNDATION COMPANY LTD,Timeless Chairty Foundation Co Ltd,25376253,1897
Timken Foundation Of Canton,,27269820.48,1768
TINY MIRACALE FOUNDATION,,15776419,2918
TOBACCO FREE KIDS ACTION FUND,Tobacco Free Kids,12610084.78,3558
TOBACCO FREE KIDS INTERNATIONAL GRANT,Tobacco Free Kids,12119831,3677
Together Hilfe Indien,,18238140.83,2601
TON Verhoeven,,9043810.83,4653
TONG LEN UK,,14680836,3088
TONYA CLARKE,,14388750,3138
TOR PROVINCE OF ST THOMAS,,27909887.5,1731
Torm Shipping India Pvt Ltd,,11253562,3913
Total Oil India P Limited,,16698004,2780
TOUCHING HEARTS MINISTRIES,,39209251.96,1198
Toy Toyo Ink SDN,,16356041,2838
TRAFIGURA FOUNDATION,,11222265,3924
TRAIDCRAFT EXCHANGE,,27281869.19,1765
Traidcraft Exchange,,16335565.68,2843
TRANS WORLD RADIO,,115679824.9,356
Transform AID International Ltd,,25682287.44,1873
Transformation Ten Fourty,,34553202.51,1371
TRF,,11213850,3929
Trickle Up,,16669019,2784
Trifid Trust Foundation,,12825287.89,3504
Trinley Djimpa Association,,10487736,4145
TRIPURA FOUNDATION,,40123431.85,1158
Trivedi Family Foundation,,49987977.5,885
Trossamfunded Svenska Kyrkan,,8551076,4868
Trust Bridge Global Foundation,,14192804,3184
